thickness,count
6,3890
7,3560
8,3650
9,3620
13,2280
14,2140
16,2090
18,2180
20,1490
21,1370
23,1220
27,1250
30,898.6
36,554.6
43,323.4
48,254.6
50,253.4
54,158.4
57,120.4
60,93.2
64,60.8
70,29.8
75,24.6
78,20.6
81,12.8
87,5.6
91,4.6
92,2.4
96,4.2
105,4.2
112,2.8
120,2.6
127,3.4
144,2.2
150,3.2
160,2.4
